page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
63,54,352,93,362,8708299000,11,0,0
63,44,342,51,349,59.,52,0,0
63,53,342,77,349,Subpartida,52,0,1
63,78,342,103,349,arancelaria,52,0,2
64,54,352,93,362,8708999900,11,0,0
64,44,342,51,349,59.,52,0,0
64,53,342,77,349,Subpartida,52,0,1
64,78,342,103,349,arancelaria,52,0,2
65,54,352,93,362,8708910090,11,0,0
65,44,342,51,349,59.,52,0,0
65,53,342,77,349,Subpartida,52,0,1
65,78,342,103,349,arancelaria,52,0,2
66,54,352,93,362,8708299000,11,0,0
66,329,319,336,326,57.,52,0,0
66,337,319,357,326,Empresa,52,0,1
66,359,319,391,326,transportadora,52,0,2
67,54,352,93,362,8708910090,11,0,0
67,44,342,51,349,59.,52,0,0
67,53,342,77,349,Subpartida,52,0,1
67,78,342,103,349,arancelaria,52,0,2
68,54,352,93,362,8708999900,11,0,0
68,44,342,51,349,59.,52,0,0
68,53,342,77,349,Subpartida,52,0,1
68,78,342,103,349,arancelaria,52,0,2
69,54,352,93,362,8708999900,11,0,0
69,44,342,51,349,59.,52,0,0
69,53,342,77,349,Subpartida,52,0,1
69,78,342,103,349,arancelaria,52,0,2
70,54,352,93,362,8708999900,11,0,0
70,44,342,51,349,59.,52,0,0
70,53,342,77,349,Subpartida,52,0,1
70,78,342,103,349,arancelaria,52,0,2
71,54,352,93,362,9401990000,11,0,0
71,44,342,51,349,59.,52,0,0
71,53,342,77,349,Subpartida,52,0,1
71,78,342,103,349,arancelaria,52,0,2
72,54,352,93,362,8708999900,11,0,0
72,44,342,51,349,59.,52,0,0
72,53,342,77,349,Subpartida,52,0,1
72,78,342,103,349,arancelaria,52,0,2
73,54,352,93,362,8708999900,11,0,0
73,44,342,51,349,59.,52,0,0
73,53,342,77,349,Subpartida,52,0,1
73,78,342,103,349,arancelaria,52,0,2
74,54,352,93,362,8708999900,11,0,0
74,44,342,51,349,59.,52,0,0
74,53,342,77,349,Subpartida,52,0,1
74,78,342,103,349,arancelaria,52,0,2
75,54,352,93,362,8708999900,11,0,0
75,44,342,51,349,59.,52,0,0
75,53,342,77,349,Subpartida,52,0,1
75,78,342,103,349,arancelaria,52,0,2
76,54,352,93,362,9401990000,11,0,0
76,44,342,51,349,59.,52,0,0
76,53,342,77,349,Subpartida,52,0,1
76,78,342,103,349,arancelaria,52,0,2
77,54,352,93,362,9032891100,11,0,0
77,329,319,336,326,57.,52,0,0
77,337,319,357,326,Empresa,52,0,1
77,359,319,391,326,transportadora,52,0,2
79,54,352,93,362,9401990000,11,0,0
79,44,342,51,349,59.,52,0,0
79,53,342,77,349,Subpartida,52,0,1
79,78,342,103,349,arancelaria,52,0,2
80,54,352,93,362,9401990000,11,0,0
80,329,319,336,326,57.,52,0,0
80,337,319,357,326,Empresa,52,0,1
80,359,319,391,326,transportadora,52,0,2
81,54,352,93,362,4009310000,11,0,0
81,44,342,51,349,59.,52,0,0
81,53,342,77,349,Subpartida,52,0,1
81,78,342,103,349,arancelaria,52,0,2
82,54,352,93,362,4016100000,11,0,0
82,44,342,51,349,59.,52,0,0
82,53,342,77,349,Subpartida,52,0,1
82,78,342,103,349,arancelaria,52,0,2
83,54,352,93,362,4016992900,11,0,0
83,44,342,51,349,59.,52,0,0
83,53,342,77,349,Subpartida,52,0,1
83,78,342,103,349,arancelaria,52,0,2
84,54,352,93,362,4009310000,11,0,0
84,44,342,51,349,59.,52,0,0
84,53,342,77,349,Subpartida,52,0,1
84,78,342,103,349,arancelaria,52,0,2
85,54,352,93,362,7318159000,11,0,0
85,329,319,336,326,57.,52,0,0
